soil,infiltration,temperature,humidity,rainfall,ndvi,crop,irrigation_mm
clay,4,29.81772762015948,87.26511807167105,18.18553454482375,0.2391095035602086,wheat,5.0
clay,4,32.96606245490567,84.42791522242378,2.7280669305876915,0.2193907634669426,sugarcane,38.403977239711686
clay_loam,7,22.24311495624565,84.67182754428026,14.852367778014017,0.5514848727387647,sugarcane,11.395161687872637
sand,35,30.7965308394786,70.71712104832883,6.044923993476106,0.7476724213035506,mustard,7.128811951653184
clay_loam,7,22.243908425507673,71.2247220363475,12.10983882889127,0.43621294892751133,tomato,6.1983198542453435
clay_loam,7,20.77920646089464,43.613571919423634,5.071920623099732,0.5183469530099841,tomato,12.079435627496482
sand,35,28.319869436711883,54.227146628298925,0.1665012051756931,0.4543944089840839,mustard,12.737989026468636
clay_loam,7,39.30395376214386,67.91188277591638,18.179437963892294,0.7845108575292341,soybean,5.0
sand,35,28.501257417068352,61.92556882655292,16.00229424321657,0.6426496730117105,mustard,5.0
sandy_loam,25,24.320275929166186,67.53628652830209,0.06361492062607166,0.3734992307438442,potato,26.357809093515492
clay,4,33.17808816436173,85.14635869747154,10.924674412826192,0.3541913223908192,maize,14.371988895123796
clay_loam,7,29.280687778120516,43.025751575853754,9.665757230115453,0.4122497967995298,cotton,13.74206348059683
clay,4,36.29974669990331,63.05053762569135,14.15701683789353,0.6344048225309533,tomato,10.868134311622224
sandy_loam,25,23.393293176149296,70.83034735999453,15.623142604207228,0.691280160445269,sugarcane,12.13265197991201
clay,4,29.951765240135128,50.16627211034292,14.015287807276133,0.5576190213011265,sugarcane,19.507709617714376
clay,4,28.29952232734123,87.74351309921948,7.928132735222519,0.3682641853064798,wheat,8.575764041374725
clay,4,26.3017691923067,58.97846205260176,2.032310527335599,0.6529347923000348,chilli,14.516906234734089
silty_loam,15,38.983552174461636,85.50636708455517,5.136405474389798,0.30252588644594797,potato,29.605672156815416
silty_loam,15,39.00201046416805,63.42662248223451,3.976989807162654,0.5071923440123088,sugarcane,36.24845111643269
clay,4,21.730096075161423,62.8924486842195,0.6660245469451342,0.26090578303698947,mustard,9.537465395365441
sand,35,30.13357220152434,67.56251658985363,11.493579508970162,0.37074870252889425,maize,13.491278622973585
silty_loam,15,38.758901301925654,72.54279448696218,12.436228782982434,0.48147261183714596,potato,15.705366622985995
clay,4,26.164529691998624,46.311044809675025,6.683117095685724,0.3379903126387017,maize,17.46790400478593
sandy_loam,25,27.446326302189398,82.7250086366654,11.991362462965636,0.38630579451648084,paddy,18.872029143189422
clay,4,36.36883614998304,50.945289633607445,3.098217019025078,0.7580068844184524,cotton,18.34585177988557
clay_loam,7,26.624911632565585,42.95915765019114,6.340095922593134,0.44674938045283286,potato,17.922059413567705
clay,4,38.5705027718133,53.16981526748809,12.26653438584838,0.22534023586224428,wheat,14.001522299780707
silty_loam,15,37.197284692289045,81.20817416237583,16.77650740741367,0.6673511522364579,chilli,5.0
silty_loam,15,24.36434455182311,44.82599453209315,6.791544004774497,0.26898578711513976,maize,12.53843430759316
sandy_loam,25,25.579032127023886,70.49841616828184,6.328149067477053,0.7429903057637179,chilli,7.8137708209625645
silty_loam,15,29.10606435200048,47.19007731399785,1.5473921203992225,0.4606969265159395,paddy,33.16273806242827
sandy_loam,25,33.471147279631595,76.85065272702478,15.484032275641201,0.39208182827515514,tomato,7.939822888031249
clay_loam,7,24.615212127700893,81.8546678814558,18.08065422346582,0.22842363188729564,chilli,5.0
sandy_loam,25,23.912850153367867,41.85843598001195,5.861144211402591,0.7623529430483722,potato,11.683486959082654
sand,35,36.78071435103098,64.54318115083711,0.34969844408716755,0.6497454349806329,paddy,36.66555101696167
clay,4,28.410133977228433,77.17696128180779,16.98022824782224,0.43606555042130196,sugarcane,12.360290465404281
sand,35,39.00168921637442,81.11382479231798,17.531306893878543,0.5619791960170946,mustard,5.0
clay,4,25.152235752337837,43.18338974555775,4.4929284806039576,0.5254843318747492,potato,20.161780640918543
sandy_loam,25,24.394011592156943,64.6792961680344,11.521432702887564,0.24911966121770707,cotton,10.383432064332936
sand,35,20.50103227823598,48.50562514577396,13.516417154287826,0.572519090853706,tomato,5.0
sand,35,37.02744599384521,56.72675003226075,4.8719379287470606,0.47130899623869826,potato,24.821240007737554
clay_loam,7,30.723326979800255,60.627570376055495,12.370996918430912,0.6187415756463863,chilli,5.0
sandy_loam,25,39.700409138574955,52.023990756825846,5.595372457935294,0.6027916078440072,tomato,21.839187772857432
clay,4,34.626598105422914,67.50430415170473,5.6713076287383135,0.38016126109831117,cotton,19.25972827097861
sand,35,28.26346288015352,85.50932422212951,1.3469411366273798,0.25943185026087456,maize,26.3807132987059
sandy_loam,25,37.00087281907659,77.16945559728087,11.120050199899183,0.7656390133569293,maize,13.328427203615057
silty_loam,15,20.466629685493352,56.71999246547131,15.399691603680623,0.8221639705682433,sugarcane,7.558818772502373
clay,4,26.192656497333456,43.82869280611233,6.975995368711658,0.5939235358193591,mustard,5.0
silty_loam,15,34.74368170931412,73.14873802238819,2.3722306509592928,0.835854348939896,potato,25.276850650719933
clay_loam,7,20.846934220663616,87.96941931448457,4.311569444268515,0.43509133774452935,mustard,6.182235689763651
clay,4,32.882734191447284,54.76807129917861,8.626163771545647,0.4360777231430619,soybean,13.625882418637344
clay_loam,7,22.756432232656557,62.7191778296625,11.43346557002947,0.7472268551943071,maize,5.0
sand,35,29.901185081502774,75.40782498317243,18.558918283713894,0.27769887851304204,sugarcane,16.47733286709711
clay_loam,7,23.89011121742731,56.223442014075985,1.2442569784071544,0.32971726970806664,maize,18.68798490213384
sand,35,30.836451835840325,72.65840865769877,7.6344617409646665,0.4559841032623017,tomato,14.368356933057589
sandy_loam,25,30.95558235649299,70.2257170286564,7.745463754343065,0.6350510073298186,mustard,5.210638562934188
sandy_loam,25,33.36807227044751,89.4641111405231,2.92068381386982,0.45321630372767446,wheat,18.47443070636315
silty_loam,15,30.010584272667373,67.87846034351811,12.347830120099367,0.25966459433154465,sugarcane,23.447779993204133
silty_loam,15,35.181683199795415,83.14637136690601,13.192880620969586,0.27312868300031123,paddy,23.899275351211607
silty_loam,15,33.796779983224255,83.06177159684258,8.243881916933875,0.6394462444024993,soybean,12.953762955882201
sandy_loam,25,36.3742432198669,83.03256909288712,10.094574838925476,0.5344597268738477,chilli,15.010465833120886
clay,4,29.786494938506536,80.85674017591691,8.780067229205297,0.7387386136944103,tomato,12.695973146704633
clay,4,28.347355319170987,43.67475055419123,2.1678468656581673,0.6799882405591423,chilli,17.55542423516077
sand,35,30.95301182865871,70.77448984886855,10.225383835756638,0.7600743732025548,soybean,5.0
sand,35,39.59287019120712,69.14153441558216,12.127781453416478,0.7563593080002315,potato,17.291408319820057
silty_loam,15,39.711607830505955,40.242055872463666,9.157389023289861,0.5971530319643368,cotton,18.02246313929931
